chain strength,not found,correct,num of reads,5,6,7,8,9
9900,50,0,1000,0,1,16,214,719
9900,53,0,1000,0,14,62,516,355
9900,33,0,1000,1,7,70,493,395
9900,28,0,1000,0,5,63,336,568
9900,22,0,1000,1,3,61,568,345
9900,50,0,1000,0,8,61,454,427
9900,51,0,1000,0,2,24,503,420
9900,25,0,1000,0,6,66,549,354
9900,28,0,1000,0,6,37,465,464
9900,28,0,1000,1,0,12,196,763
9950,32,0,1000,1,3,17,362,585
9950,20,0,1000,1,4,18,464,493
9950,61,0,1000,1,6,50,420,462
9950,34,0,1000,2,10,44,531,379
9950,20,0,1000,0,2,26,405,547
9950,23,0,1000,0,2,46,456,473
9950,40,0,1000,0,3,28,470,459
9950,28,0,1000,0,8,65,285,613
9950,22,0,1000,0,17,123,459,379
9950,37,0,1000,1,7,24,237,694
10000,31,0,1000,0,8,82,318,560
100000,34,0,1000,0,1,9,318,638
100000,41,0,1000,1,4,62,473,419
100000,40,0,1000,1,4,28,525,402
100000,69,0,1000,1,22,85,494,329
100000,45,0,1000,1,16,48,311,579
100000,54,0,1000,2,3,71,513,357
100000,39,0,1000,0,1,71,389,500
100000,47,0,1000,0,3,31,526,393
100000,54,0,1000,0,20,59,418,449
100000,46,0,1000,0,7,102,492,353
25,188,0,1000,5,6,52,332,416
25,223,0,1000,11,43,115,434,167
25,222,0,1000,4,24,44,420,284
25,280,0,1000,1,13,87,217,401
25,237,0,1000,3,34,147,378,201
25,290,0,1000,9,30,135,319,216
25,241,0,1000,6,53,97,274,327
25,221,0,1000,2,9,112,467,188
25,204,0,1000,5,18,126,278,369
25,262,0,1000,6,34,90,338,269
30,173,0,1000,6,33,123,296,369
30,188,0,1000,7,43,142,408,212
30,229,0,1000,1,25,62,413,270
30,163,1,1000,0,10,55,242,530
30,181,0,1000,1,7,47,286,478
30,173,0,1000,5,23,68,362,369
30,201,0,1000,6,14,188,269,316
30,185,0,1000,6,39,124,376,270
30,251,0,1000,14,17,106,342,269
30,173,1,1000,15,56,145,376,232
35,220,0,1000,3,39,50,409,278
35,168,0,1000,3,16,96,311,405
35,202,0,1000,11,19,85,571,107
35,164,0,1000,1,14,156,356,309
35,162,0,1000,9,31,87,231,478
35,138,0,1000,0,10,40,377,435
35,174,0,1000,4,20,85,411,306
35,169,1,1000,7,19,80,378,347
35,249,1,1000,5,7,81,360,298
35,166,0,1000,3,17,62,455,297
40,182,0,1000,7,32,104,408,267
40,157,0,1000,1,6,47,528,261
40,122,0,1000,3,28,86,459,300
40,209,0,1000,8,46,136,284,317
40,122,0,1000,2,28,81,384,383
40,127,0,1000,1,14,51,381,426
40,120,0,1000,11,26,87,403,351
40,139,0,1000,4,27,93,402,334
40,114,0,1000,14,49,145,462,216
40,147,0,1000,0,1,43,498,311
45,182,0,1000,2,16,106,308,385
45,133,0,1000,6,17,76,446,322
45,114,0,1000,8,35,129,338,376
45,130,0,1000,8,20,81,315,446
45,164,0,1000,3,27,131,350,325
45,149,0,1000,2,36,63,371,379
45,153,0,1000,2,36,115,358,336
45,130,0,1000,3,13,176,438,240
45,151,0,1000,5,18,60,531,234
45,149,0,1000,3,9,105,478,256
